match_id,team_id,from_player_id,from_position,to_player_id,to_position,from_position_x,from_position_y,from_position_encoded
3795107,914,8286,Defender,3166,Midfield,64.2,6.8,0
3795107,914,3166,Midfield,7788,Forward,63.8,16.6,3
3795107,914,7024,Midfield,6954,Defender,52.2,21.6,3
3795107,914,6954,Defender,7173,Defender,28.7,21.3,0
3795107,914,7173,Defender,11514,Defender,28.5,43.4,0
3795107,914,11514,Defender,8181,Midfield,33.6,72.5,0
3795107,914,7036,Goalkeeper,8286,Defender,10.3,45.9,2
3795107,914,8286,Defender,3166,Midfield,56.1,7.4,0
3795107,914,3166,Midfield,7024,Midfield,48.8,14.9,3
3795107,914,7024,Midfield,3166,Midfield,50.5,29.3,3
3795107,914,3166,Midfield,7037,Forward,55.9,20.3,3
3795107,914,7037,Forward,3166,Midfield,65.3,18.3,1
3795107,914,3166,Midfield,7173,Defender,56.5,19.2,3
3795107,914,7173,Defender,8181,Midfield,49.2,48.3,0
3795107,914,8181,Midfield,7024,Midfield,63.1,66.5,3
3795107,914,7024,Midfield,7156,Forward,65.1,48.7,3
3795107,914,6954,Defender,7036,Goalkeeper,14.4,65.2,0
3795107,914,7173,Defender,3166,Midfield,26.1,74.0,0
3795107,914,3166,Midfield,7156,Forward,30.2,75.7,3
3795107,914,7036,Goalkeeper,6954,Defender,6.0,39.3,2
3795107,914,6954,Defender,7173,Defender,24.2,25.6,0
3795107,914,7173,Defender,8181,Midfield,31.1,42.9,0
3795107,914,8181,Midfield,7024,Midfield,41.8,50.0,3
3795107,914,7024,Midfield,11514,Defender,42.8,43.2,3
3795107,914,11514,Defender,7173,Defender,42.6,76.1,0
3795107,914,7173,Defender,6954,Defender,31.3,60.1,0
3795107,914,6954,Defender,8286,Defender,42.8,26.5,0
3795107,914,8286,Defender,6954,Defender,78.1,8.9,0
3795107,914,6954,Defender,7173,Defender,64.9,17.5,0
3795107,914,7173,Defender,3166,Midfield,62.1,44.7,0
3795107,914,3166,Midfield,7037,Forward,89.9,11.1,3
3795107,914,7037,Forward,7156,Forward,86.9,16.2,1
3795107,914,7036,Goalkeeper,7173,Defender,8.2,44.7,2
3795107,914,7173,Defender,8286,Defender,15.0,53.0,0
3795107,914,8286,Defender,3166,Midfield,35.5,7.4,0
3795107,914,3166,Midfield,7037,Forward,48.0,15.8,3
3795107,914,6954,Defender,7036,Goalkeeper,47.1,26.5,0
3795107,914,7036,Goalkeeper,7173,Defender,17.2,36.7,2
3795107,914,7173,Defender,11514,Defender,32.3,44.9,0
3795107,914,11514,Defender,8181,Midfield,69.3,76.7,0
3795107,914,8181,Midfield,7156,Forward,83.7,77.2,3
3795107,914,11514,Defender,7173,Defender,89.0,80.0,0
3795107,914,7173,Defender,8286,Defender,56.1,72.9,0
3795107,914,8286,Defender,6954,Defender,41.3,7.7,0
3795107,914,6954,Defender,7173,Defender,46.7,28.6,0
3795107,914,7173,Defender,11514,Defender,45.0,48.1,0
3795107,914,8286,Defender,7024,Midfield,70.4,5.1,0
3795107,914,7024,Midfield,3166,Midfield,71.5,12.4,3
3795107,914,3166,Midfield,7024,Midfield,79.0,9.4,3
